race_name,year,surname,points
Australian Grand Prix,2008,Räikkönen,1.0
Australian Grand Prix,2008,Massa,0.0
Malaysian Grand Prix,2008,Räikkönen,10.0
Malaysian Grand Prix,2008,Massa,0.0
Bahrain Grand Prix,2008,Massa,10.0
Bahrain Grand Prix,2008,Räikkönen,8.0
Spanish Grand Prix,2008,Räikkönen,10.0
Spanish Grand Prix,2008,Massa,8.0
Turkish Grand Prix,2008,Massa,10.0
Turkish Grand Prix,2008,Räikkönen,6.0
Monaco Grand Prix,2008,Massa,6.0
Monaco Grand Prix,2008,Räikkönen,0.0
Canadian Grand Prix,2008,Massa,4.0
Canadian Grand Prix,2008,Räikkönen,0.0
French Grand Prix,2008,Massa,10.0
French Grand Prix,2008,Räikkönen,8.0
British Grand Prix,2008,Räikkönen,5.0
British Grand Prix,2008,Massa,0.0
German Grand Prix,2008,Massa,6.0
German Grand Prix,2008,Räikkönen,3.0
Hungarian Grand Prix,2008,Räikkönen,6.0
Hungarian Grand Prix,2008,Massa,0.0
European Grand Prix,2008,Massa,10.0
European Grand Prix,2008,Räikkönen,0.0
Belgian Grand Prix,2008,Massa,10.0
Belgian Grand Prix,2008,Räikkönen,0.0
Italian Grand Prix,2008,Massa,3.0
Italian Grand Prix,2008,Räikkönen,0.0
Singapore Grand Prix,2008,Massa,0.0
Singapore Grand Prix,2008,Räikkönen,0.0
Japanese Grand Prix,2008,Räikkönen,6.0
Japanese Grand Prix,2008,Massa,2.0
Chinese Grand Prix,2008,Massa,8.0
Chinese Grand Prix,2008,Räikkönen,6.0
Brazilian Grand Prix,2008,Massa,10.0
Brazilian Grand Prix,2008,Räikkönen,6.0
Australian Grand Prix,2007,Räikkönen,10.0
Australian Grand Prix,2007,Massa,3.0
Malaysian Grand Prix,2007,Räikkönen,6.0
Malaysian Grand Prix,2007,Massa,4.0
Bahrain Grand Prix,2007,Massa,10.0
Bahrain Grand Prix,2007,Räikkönen,6.0
Spanish Grand Prix,2007,Massa,10.0
Spanish Grand Prix,2007,Räikkönen,0.0
Monaco Grand Prix,2007,Massa,6.0
Monaco Grand Prix,2007,Räikkönen,1.0
Canadian Grand Prix,2007,Räikkönen,4.0
Canadian Grand Prix,2007,Massa,0.0
United States Grand Prix,2007,Massa,6.0
United States Grand Prix,2007,Räikkönen,5.0
French Grand Prix,2007,Räikkönen,10.0
French Grand Prix,2007,Massa,8.0
British Grand Prix,2007,Räikkönen,10.0
British Grand Prix,2007,Massa,4.0
European Grand Prix,2007,Massa,8.0
European Grand Prix,2007,Räikkönen,0.0
Hungarian Grand Prix,2007,Räikkönen,8.0
Hungarian Grand Prix,2007,Massa,0.0
Turkish Grand Prix,2007,Massa,10.0
Turkish Grand Prix,2007,Räikkönen,8.0
Italian Grand Prix,2007,Räikkönen,6.0
Italian Grand Prix,2007,Massa,0.0
Belgian Grand Prix,2007,Räikkönen,10.0
Belgian Grand Prix,2007,Massa,8.0
Japanese Grand Prix,2007,Räikkönen,6.0
Japanese Grand Prix,2007,Massa,3.0
Chinese Grand Prix,2007,Räikkönen,10.0
Chinese Grand Prix,2007,Massa,6.0
Brazilian Grand Prix,2007,Räikkönen,10.0
Brazilian Grand Prix,2007,Massa,8.0
Bahrain Grand Prix,2006,Schumacher,8.0
Bahrain Grand Prix,2006,Massa,0.0
Malaysian Grand Prix,2006,Massa,4.0
Malaysian Grand Prix,2006,Schumacher,3.0
Australian Grand Prix,2006,Schumacher,0.0
Australian Grand Prix,2006,Massa,0.0
San Marino Grand Prix,2006,Schumacher,10.0
San Marino Grand Prix,2006,Massa,5.0
European Grand Prix,2006,Schumacher,10.0
European Grand Prix,2006,Massa,6.0
Spanish Grand Prix,2006,Schumacher,8.0
Spanish Grand Prix,2006,Massa,5.0
Monaco Grand Prix,2006,Schumacher,4.0
Monaco Grand Prix,2006,Massa,0.0
British Grand Prix,2006,Schumacher,8.0
British Grand Prix,2006,Massa,4.0
Canadian Grand Prix,2006,Schumacher,8.0
Canadian Grand Prix,2006,Massa,4.0
United States Grand Prix,2006,Schumacher,10.0
United States Grand Prix,2006,Massa,8.0
French Grand Prix,2006,Schumacher,10.0
French Grand Prix,2006,Massa,6.0
German Grand Prix,2006,Schumacher,10.0
German Grand Prix,2006,Massa,8.0
Hungarian Grand Prix,2006,Massa,2.0
Hungarian Grand Prix,2006,Schumacher,1.0
Turkish Grand Prix,2006,Massa,10.0
Turkish Grand Prix,2006,Schumacher,6.0
Italian Grand Prix,2006,Schumacher,10.0
Italian Grand Prix,2006,Massa,0.0
Chinese Grand Prix,2006,Schumacher,10.0
Chinese Grand Prix,2006,Massa,0.0
Japanese Grand Prix,2006,Massa,8.0
Japanese Grand Prix,2006,Schumacher,0.0
Brazilian Grand Prix,2006,Massa,10.0
Brazilian Grand Prix,2006,Schumacher,5.0
Australian Grand Prix,2005,Barrichello,8.0
Australian Grand Prix,2005,Schumacher,0.0
Malaysian Grand Prix,2005,Schumacher,2.0
Malaysian Grand Prix,2005,Barrichello,0.0
Bahrain Grand Prix,2005,Barrichello,0.0
Bahrain Grand Prix,2005,Schumacher,0.0
San Marino Grand Prix,2005,Schumacher,8.0
San Marino Grand Prix,2005,Barrichello,0.0
Spanish Grand Prix,2005,Barrichello,0.0
Spanish Grand Prix,2005,Schumacher,0.0
Monaco Grand Prix,2005,Schumacher,2.0
Monaco Grand Prix,2005,Barrichello,1.0
European Grand Prix,2005,Barrichello,6.0
European Grand Prix,2005,Schumacher,4.0
Canadian Grand Prix,2005,Schumacher,8.0
Canadian Grand Prix,2005,Barrichello,6.0
United States Grand Prix,2005,Schumacher,10.0
United States Grand Prix,2005,Barrichello,8.0
French Grand Prix,2005,Schumacher,6.0
French Grand Prix,2005,Barrichello,0.0
British Grand Prix,2005,Schumacher,3.0
British Grand Prix,2005,Barrichello,2.0
German Grand Prix,2005,Schumacher,4.0
German Grand Prix,2005,Barrichello,0.0
Hungarian Grand Prix,2005,Schumacher,8.0
Hungarian Grand Prix,2005,Barrichello,0.0
Turkish Grand Prix,2005,Barrichello,0.0
Turkish Grand Prix,2005,Schumacher,0.0
Italian Grand Prix,2005,Schumacher,0.0
Italian Grand Prix,2005,Barrichello,0.0
